,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,np_classifier_class
0,346.14163842399995,6,2,1.0575999999999999,93.06,0.47368421052631576,3,6,3,Guaiane sesquiterpenoids
1,342.110338296,6,0,3.4944000000000024,67.13000000000001,0.21052631578947367,3,6,5,Flavones
2,416.12598835999995,6,2,4.381500000000005,93.06000000000002,0.12,4,6,6,Chalcones
3,240.078644244,3,0,3.2632200000000022,39.44,0.13333333333333333,3,3,1,Simple coumarins
4,274.120509056,4,0,3.318900000000002,48.67,0.3125,2,4,4,Simple coumarins
5,378.167853172,7,1,1.9862,91.29000000000002,0.7,4,7,2,Germacrane sesquiterpenoids
6,222.06807956,2,0,3.4600000000000017,30.21,0.0,3,2,1,Flavones
7,518.19406792,8,2,4.791700000000004,119.34,0.26666666666666666,4,8,9,Simple coumarins
8,262.06299418000003,3,0,4.206200000000003,43.35,0.0,4,3,1,Flavones
9,368.1259883599999,6,3,4.0941000000000045,100.13000000000001,0.19047619047619047,3,6,4,Simple coumarins
10,398.2093240599999,4,1,5.425400000000005,76.74,0.5,3,5,6,Simple coumarins
11,344.089602852,7,2,2.897000000000001,98.36000000000001,0.16666666666666666,3,7,4,Flavones
12,414.13146766399996,8,4,2.4515000000000002,129.59,0.3181818181818182,4,8,3,Flavones
13,442.23553880799994,6,1,4.707000000000004,85.97000000000001,0.6153846153846154,4,6,4,Simple coumarins
14,322.084123548,5,0,4.2234000000000025,61.81,0.10526315789473684,4,5,3,Flavones
15,292.07355886399995,4,0,4.214800000000003,52.58,0.05555555555555555,4,4,2,Flavones
16,242.094294308,3,0,3.390900000000002,39.44,0.13333333333333333,2,3,3,Simple coumarins
17,272.104858992,4,0,3.3995000000000015,48.67,0.1875,2,4,4,Simple coumarins
18,286.084123548,5,3,2.708100000000001,86.99000000000001,0.0625,2,5,4,Chalcones
19,594.15847026,15,11,-2.3934,271.19999999999993,0.4444444444444444,5,15,5,Flavones
20,330.073952788,7,3,2.5940000000000007,109.36000000000001,0.11764705882352941,3,7,3,Flavones
21,306.125594436,3,1,4.472500000000005,46.53,0.15,3,3,3,Chalcones
22,286.04773804,6,4,2.2824000000000004,111.13000000000001,0.0,3,6,1,Flavones
23,420.17841785599995,8,0,2.2554999999999996,105.20000000000002,0.6363636363636364,3,8,4,Germacrane sesquiterpenoids
24,292.167459248,4,0,3.1723000000000017,52.6,0.6470588235294118,2,4,4,Germacrane sesquiterpenoids
25,274.084123548,5,4,2.324500000000001,97.99000000000001,0.13333333333333333,2,5,4,Chalcones
26,216.15141526,1,0,4.3594200000000045,13.14,0.4666666666666667,2,1,0,Germacrane sesquiterpenoids
27,270.089208928,4,2,3.0025000000000013,66.76,0.0625,2,4,4,Chalcones
28,506.3032244439999,5,1,5.698000000000007,72.83,0.6875,6,5,4,Guaiane sesquiterpenoids
29,514.1991532999999,7,0,6.432500000000006,88.11000000000001,0.2903225806451613,5,7,6,Simple coumarins
30,266.151809184,4,1,1.8127,59.06,0.8,3,4,3,Germacrane sesquiterpenoids
31,382.21440943999994,4,1,4.941400000000005,59.67,0.5416666666666666,4,4,3,Simple coumarins
32,380.183503236,7,2,1.3190999999999997,110.13000000000001,0.65,2,7,3,Germacrane sesquiterpenoids
33,380.183503236,7,2,1.3190999999999993,110.13000000000002,0.65,2,7,3,Germacrane sesquiterpenoids
34,248.1412445,3,1,2.2114000000000007,46.53,0.6666666666666666,3,3,0,Guaiane sesquiterpenoids
35,328.16745924799994,4,0,4.873100000000004,48.67,0.35,2,4,7,Simple coumarins
36,358.141638424,6,0,3.8675000000000033,82.81,0.35,2,6,6,Simple coumarins
37,248.1412445,3,0,2.809700000000001,43.370000000000005,0.6,2,3,3,Germacrane sesquiterpenoids
38,352.1310737399999,5,2,4.231300000000004,75.99000000000001,0.19047619047619047,3,5,5,Chalcones
39,324.13615911999995,4,3,4.208200000000004,77.76,0.15,2,4,5,Chalcones
40,406.1780239319999,5,3,5.610200000000007,86.99000000000001,0.24,3,5,6,Chalcones
41,422.19406791999995,8,1,1.8898999999999997,116.20000000000002,0.6363636363636364,2,8,4,Germacrane sesquiterpenoids
42,322.084123548,5,0,4.223400000000003,61.81,0.10526315789473684,4,5,3,Flavones
43,248.1412445,3,1,2.2114000000000003,46.53,0.6666666666666666,3,3,0,Guaiane sesquiterpenoids
44,678.246497416,10,7,6.822700000000012,184.98,0.25,6,10,7,Chalcones
45,248.1412445,3,1,2.2114000000000007,46.53,0.6666666666666666,3,3,0,Guaiane sesquiterpenoids
46,298.15689456399997,3,0,4.864500000000005,39.44,0.3157894736842105,2,3,6,Simple coumarins
47,406.21440943999994,4,1,5.893000000000006,63.60000000000001,0.3076923076923077,2,4,7,Chalcones
48,250.156894564,3,1,2.6015000000000006,46.53,0.6666666666666666,2,3,3,Germacrane sesquiterpenoids
49,208.088815004,1,0,3.5827000000000018,17.07,0.0,2,1,3,Chalcones
50,624.163161716,11,8,5.821300000000009,209.11999999999998,0.14285714285714285,6,11,5,Chalcones
51,380.12598835999995,6,1,4.209800000000004,74.22,0.22727272727272727,4,6,4,Chalcones
52,376.152203108,7,1,1.0417999999999996,97.89,0.7,5,7,2,Guaiane sesquiterpenoids
53,294.08920892799995,4,1,4.043100000000003,59.67,0.05555555555555555,3,4,4,Chalcones
54,248.1412445,3,1,2.2114000000000003,46.53,0.6666666666666666,3,3,0,Guaiane sesquiterpenoids
55,256.073558864,4,3,2.699500000000001,77.76,0.0,2,4,3,Chalcones
