np_classifier_class,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
Flavones,592.18,552.0332562,1.072725227,14,7,217.97,7,5,10,14,0,30,0.233333333,10,0,0.179,4.562,0.464,115.098,1.689,1,0,1,1,-3.347378174,1.102287875,0.418069688,232.0190478,357.8801585,5.226270073,4.509296765,-6.233168286,-5.140234688,0.999523759,3.76E-05,0.986707807,0.99715433,0.884450682,0.99624466,0.99889051,0.019280504,0.991356134,0.771154702,0.076262966,8.72E-05,0.929163694,79.36175949,-0.203848157,19.63889333,9.34E-12,8.45E-07,1.17E-10,5.83E-06,3.50E-09,0.009748304,9.62E-06,0.000204906,0.000284268,3.10E-05,6.65E-06,2.64E-11,0.99608624,0.00023196,1.531646787,3.410829188,0.406631663,3.183580873,5.133898661,3.941740426,0.080467582,0.519811451,0.976389706,0.852958322,0.383727044,0.514192522,0.023741901,0.300338179,5.00E-08,0.031323742,0.056260318,0.339690328,0.10504359,0.931524813,0.027468283,0.044352222,0.556171715,0.114304841,0.118433528,0.841073573,0.029502334,0.246043876,0.000658914,3.03E-05,0.486056507,0.000284292,1.15E-07,0.011381854,5.82E-05,4.15E-05,0.001169006,0.000279726
Flavones,296.07,291.2218351,1.016647669,5,0,57.9,2,4,13,5,0,22,0.090909091,0,1,0.727,2.351,0.118,42.105,1.19,0,1,0,0,-4.3784484,3.015976448,3.249399092,135.7774726,316.71215,7.756045406,3.71350895,-4.830649777,-4.650729753,0.232725337,0.970671952,0.018474298,0.001478136,0.045545161,0.065762103,0.500988543,0.940176368,0.98505789,0.723501086,0.999486804,0.446899921,0.906308949,98.09793572,-0.018954209,1.421434695,0.999902964,0.742159367,0.993343592,0.424088836,0.566261172,0.995169699,0.804501414,0.938395143,0.994961977,0.075400233,0.984569609,0.007937025,0.086292759,0.200590402,4.114631893,0.782901512,1.734759822,4.040602739,5.343016143,4.637767599,0.168969393,0.516752541,0.910999,0.543015361,0.463200837,0.648894727,0.459426612,0.881865621,0.287289321,0.968695879,0.634712875,0.485889822,0.338609159,0.108407244,0.291944355,0.149224505,0.743912518,0.065054767,0.129933283,0.445140928,0.994495213,0.317049593,0.532161236,0.677031577,0.777416885,0.167399108,0.051159736,0.862380326,0.808510423,0.764266908,0.971227229,0.941185355
Cinnamic acids and derivatives,624.21,586.6759273,1.063977523,15,9,245.29,11,4,6,15,0,26,0.423076923,10,1,0.087,4.727,0.483,100.488,1.817,1,0,1,1,-2.553223416,0.636583482,0.014226197,193.5875203,340.4711818,6.632117285,5.945683792,-6.459867855,-5.139466358,0.999969602,1.09E-07,0.897056818,0.998201418,0.99980972,0.999974137,0.999995549,0.003690142,0.888913214,0.140400633,0.0001898,0.00012397,0.905264854,57.39377058,-0.391226316,38.40162522,5.45E-12,2.49E-06,3.34E-10,0.595793307,3.70E-07,0.949957788,3.09E-10,1.02E-06,0.731386662,4.43E-06,0.006898223,7.31E-13,0.999158263,0.897016346,3.088015209,3.491794782,0.629931299,3.3191057,5.177561753,4.314930639,0.066518791,0.764810622,0.444359511,0.846395433,0.244772926,0.390460759,0.997768044,0.026652183,9.22E-08,0.017049689,0.010870032,0.403428167,0.034852751,0.995987594,0.007890816,0.028866241,0.598628283,0.021757402,0.883972764,0.774883628,0.001501758,0.00487344,0.019542975,3.03E-05,0.108628899,0.025517328,3.36E-06,0.208038718,5.11E-05,0.003821222,0.002071216,0.002221532
Flavones,580.14,573.704144,1.011218075,10,3,148.8,6,6,10,10,0,36,0.166666667,0,0,0.213,2.943,0.091,36,0.897,0,0,1,1,-6.212622122,3.25500835,4.624947399,293.8505778,470.3857406,7.425421895,1.354521703,-5.068324323,-4.774987255,0.030795893,0.763470173,0.427742124,0.027895451,0.171747804,0.731722414,0.985540411,0.980289519,0.999367058,0.988461494,0.996504784,0.000228533,0.915834665,97.77608243,-0.029640837,1.216110795,0.999999762,0.782372534,0.183629826,2.49E-06,0.02074464,0.995023727,0.987734258,0.999984264,0.999602377,3.72E-05,0.00368214,1.14E-10,0.999999881,0.979924321,1.541540055,1.554451237,1.33791416,4.569085632,5.392530595,4.988465633,0.125459239,0.450380683,0.998450756,0.839712083,0.559582651,0.966272414,0.117900945,0.914322913,0.000943747,0.965162754,0.935114264,0.465045929,0.00980935,0.063492075,0.136404395,0.05906846,0.996231258,0.182537556,0.551572382,0.883829236,0.999670386,0.660603404,0.589563072,0.874922454,0.987531126,0.535217941,0.309766233,0.992373168,0.927156508,0.950484455,0.999802411,0.996662021
Flavonols,464.1,421.9373647,1.09992629,12,8,210.51,4,4,10,12,0,24,0.166666667,5,0,0.229,4.008,0.286,91,2.16,1,0,1,0,-3.877976562,0.664390574,-0.093087811,271.1929498,416.5891411,5.083770051,4.664007255,-6.357408365,-4.925645,0.992807388,3.31E-06,0.401969939,0.868076831,0.904880352,0.99955538,0.999949952,0.003054613,0.944158852,0.9142676,0.019281983,0.000224014,0.753190696,83.72708372,-0.043785618,16.0244932,3.89E-07,0.000327808,5.66E-12,8.39E-06,1.17E-06,0.553972244,3.70E-09,0.10591875,0.030628234,4.26E-06,0.000726436,1.94E-14,0.995374262,0.379725099,3.957437971,2.656724504,0.503247219,3.018932069,4.601216116,3.815904071,0.02848989,0.456928313,0.657186389,0.599173188,0.286831468,0.578669131,0.808104336,0.27416572,5.70E-05,0.813524187,0.129781231,0.416737646,0.011045731,0.857696414,0.013050095,0.009270448,0.918561041,0.024130434,0.440460533,0.692032397,0.211948439,0.294940382,0.064868592,0.034782819,0.377855688,0.072058797,0.000572962,0.549558461,0.001369142,0.147737458,0.291716486,0.089439727
Isoquinoline alkaloids,332.09,326.8851771,1.015922481,5,0,40.8,0,6,24,5,1,29,0,0,1,0.365,2.899,0.15,63.043,1.059,0,1,0,0,-5.740453462,3.277357278,3.606714356,269.0361531,448.2182886,9.293106998,3.554766082,-4.975306151,-4.710880489,0.673268497,1.23E-05,0.999580801,0.013747275,0.720533848,0.327034414,0.998409547,5.45E-05,0.000114481,0.003639798,0.669588864,0.012044935,0.933070421,65.11207284,0.103806611,37.87718559,0.999999881,0.999994516,0.999972105,0.998512805,0.028328622,0.999900341,0.999996543,0.99997735,1,0.115262963,0.999966264,0.939761996,0.000316844,0.211535543,2.911932284,0.558109559,1.981363842,4.413095989,6.212090242,5.661905217,0.425419599,0.561850011,0.818781674,0.807573259,0.82605058,0.934141338,0.92471981,0.916586995,0.001447011,0.93073535,0.912753701,0.16129753,0.425396323,0.153880298,0.121253878,0.301558644,0.997675955,0.174012035,0.014824314,0.863425612,0.999985337,0.109327383,0.989603877,0.801533222,0.881921291,0.663266838,0.025227509,0.992166042,0.794721365,0.971980631,0.999704897,0.999499083
Flavones,222.07,238.8156428,0.929880461,2,0,30.21,1,3,10,2,0,18,0.055555556,0,1,0.631,1.647,0,14,0.289,0,1,0,0,-4.81387644,3.438258654,3.794843649,116.3258955,333.7356112,8.54685132,1.642137077,-4.408890202,-4.631993773,0.368603021,0.976452529,0.066368982,0.000866354,0.073313892,0.372650266,0.729717046,0.956946015,0.99666518,0.944387913,0.998871028,0.640665352,0.892154932,97.83636742,-0.174026459,1.314897965,0.99999249,0.698113918,0.994152009,0.106639154,0.359756738,0.987824798,0.856429338,0.93832022,0.600941837,0.083904408,0.996933222,0.006409865,0.948905051,0.818391681,5.230905832,1.121503271,1.361278736,4.32228137,4.852776491,4.7352926,0.151223794,0.493490905,0.881367683,0.5703004,0.459684819,0.647575855,0.419744372,0.771601081,0.312077463,0.978002608,0.656633437,0.505761862,0.341210544,0.087636843,0.253124118,0.159368545,0.918770611,0.045430902,0.129390806,0.378693193,0.84498167,0.221560866,0.030196834,0.060094338,0.879421651,0.012912655,0.316646129,0.580700755,0.323288113,0.067008197,0.573704422,0.1514083
Anthraquinones and anthrones,284.07,282.4823089,1.005620498,5,2,83.83,1,3,14,5,0,18,0.055555556,0,0,0.715,2.357,0.125,38,1.426,0,0,0,0,-6.231334494,3.076959509,3.590449709,226.4779823,378.0038361,8.697263946,2.363951555,-4.947079257,-4.867655794,0.709507406,0.103267081,0.031607512,0.035957515,0.111198246,0.532310814,0.936801136,0.979986489,0.994590163,0.081708461,0.319984078,0.001373655,0.796527147,95.14245372,0.664190057,6.032882048,0.999554932,0.998680413,0.407129735,0.19235687,0.835804403,0.168789908,0.870995581,0.654408216,0.860781431,0.002816341,0.001675606,3.18E-06,0.999164224,0.694847524,7.846761045,0.849517321,1.871215069,4.251257414,5.077763897,4.547134398,0.07890024,0.602724552,0.829294205,0.878069758,0.457735598,0.490008831,0.863783717,0.835676968,0.001751322,0.986713648,0.826625884,0.691031694,0.390310347,0.307613879,0.710823476,0.456554294,0.88299489,0.231468871,0.770360291,0.572853327,0.998463869,0.210775271,0.023309276,0.424105406,0.998016715,0.874818027,0.003689644,0.951727629,0.544341803,0.164015532,0.999576151,0.931124747
Cinnamic acids and derivatives,222.09,223.6104358,0.993200515,4,0,36.92,4,2,9,4,0,11,0.363636364,0,0,0.731,2.493,0.333,23.375,0.903,0,0,0,0,-2.930501834,2.55172183,2.709836447,22.23621356,285.0065628,9.771786603,3.961606199,-4.692057341,-4.78297681,0.0037138,0.877822042,0.000218051,0.00243628,0.725947112,0.250811279,0.662559628,0.986911058,0.961885452,0.850519538,0.99413836,0.796004951,0.455888033,94.12166536,0.362594265,6.83361585,0.995335758,0.993929863,0.985404551,0.999212503,0.230947092,0.999896526,0.990545511,0.999416828,0.999696016,0.008052232,0.998324931,0.997962356,0.959633231,0.647522271,5.834911865,1.186402811,1.7319571,3.420427203,5.340893494,4.09883,0.102443695,0.640696287,0.484831661,0.449474245,0.410548478,0.386317015,0.838299394,0.829565525,0.938393593,0.979191899,0.857753217,0.364372164,0.720883191,0.167234868,0.279855877,0.150993973,0.196708485,0.07485944,0.093900397,0.273253322,0.573133767,0.004774028,0.000555641,0.021276575,0.010357183,0.00067821,1.35E-05,0.041234232,8.96E-05,0.074000113,0.07771147,0.005502775
Flavonols,302.04,282.7667775,1.06815943,7,5,131.36,1,3,10,7,0,18,0.055555556,0,1,0.434,2.558,0,19,1.335,0,0,0,0,-3.480049861,1.204270138,1.113380388,348.5626658,398.4332319,6.51999002,1.371611422,-6.031833554,-4.908175333,0.830562472,0.022016888,0.13294217,0.624943197,0.8661208,0.995315386,0.997923241,0.839022577,0.994961858,0.98205179,0.191048846,0.000345552,0.621102631,92.71976858,-0.653881599,6.640551211,0.995671868,0.018871171,0.009142901,1.42E-07,0.980783761,0.000358623,0.000536166,0.434029549,0.99974829,6.69E-11,7.45E-07,7.09E-16,0.999975204,0.991388142,8.424384517,1.728733454,0.955621132,3.653800935,4.473433222,4.001094547,0.061232187,0.727122843,0.819848418,0.665730417,0.409705937,0.818189979,0.996018946,0.606554866,0.71435076,0.998783886,0.571509838,0.338113487,0.00250694,0.514084876,0.019700577,0.004096418,0.985595822,0.006156536,0.916552246,0.422017932,0.983979225,0.112690613,0.133907393,0.752564073,0.853808105,0.748306453,0.484301746,0.960180581,0.047212441,0.870383918,0.998807192,0.979170084
