np_classifier_class,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
Cinnamic acids and derivatives,178.1,197.2904556,0.902729934,2,0,18.46,4,1,6,2,0,7,0.571428571,0,0,0.659,1.737,0.273,6,0.385,0,0,0,1,-2.19789807,2.359513872,2.472531268,4.831404026,259.0803198,10.18401319,4.645105769,-4.592877594,-4.723240628,0.003963597,0.919065714,0.002608117,0.079319417,0.742173016,0.785810947,0.68621552,0.996435165,0.990956366,0.906914294,0.996640921,0.278245062,0.250250638,85.72736139,0.28875372,14.53637448,0.6893574,0.94095993,0.959200978,0.999791682,0.915182352,0.999869347,0.04816645,0.999912977,0.999834061,0.017469285,0.885312974,0.909300089,1,0.274964094,7.760251044,1.869419713,1.696987906,3.525529761,4.378869502,3.925157981,0.119768448,0.624924481,0.384992748,0.467741042,0.346778959,0.23350887,0.880417943,0.64930588,0.987016976,0.991407692,0.814627409,0.345393449,0.701811969,0.149717033,0.214208215,0.172171399,0.063737825,0.05110449,0.083392084,0.194377705,2.76E-05,1.45E-05,2.20E-08,6.90E-07,0.002535847,1.29E-06,7.89E-09,0.002354433,2.32E-09,9.86E-06,4.02E-05,3.08E-08
Flavonols,404.11,386.8271576,1.044678462,9,2,116.82,6,3,10,9,0,18,0.333333333,0,0,0.639,2.637,0.25,21,1.39,0,0,1,0,-3.387401779,2.276348819,2.080141861,157.2558693,297.1092923,6.097152188,4.748731072,-5.212823131,-4.762861281,0.07312011,0.792771697,0.085726433,0.011532366,0.067553222,0.084374249,0.986009246,0.395551354,0.985108972,0.958685994,0.996959686,0.036782622,0.993926704,96.49613544,-0.502561631,2.863949613,0.953696191,0.991512358,0.074879713,0.510409594,0.501475811,0.102590062,0.001569681,0.453238696,0.967558563,0.896174371,0.376547217,0.000641423,0.991635203,0.670662284,4.731305783,1.601404648,1.420620897,3.845622397,4.538123535,3.972415368,0.075282007,0.523433506,0.672258496,0.346001327,0.36964348,0.350982189,0.747950017,0.744818926,0.182929084,0.868545055,0.704023898,0.413667977,0.320038885,0.209508881,0.373498857,0.22145769,0.194270045,0.161086351,0.253994405,0.427618831,0.988991976,0.416999131,0.274966002,0.735074341,0.577934861,0.131669626,0.047306392,0.760593534,0.84870261,0.772711039,0.987437427,0.972047985
Flavones,300.06,291.2725358,1.030169216,6,3,100.13,2,3,10,6,0,18,0.111111111,0,0,0.672,2.329,0.062,18,1.367,0,0,0,0,-4.003130074,2.337642448,2.671170063,269.5230596,397.5663111,7.761649638,4.330230241,-4.989329458,-4.802375759,0.097764134,0.029836569,0.434247077,0.006703317,0.414726734,0.857439071,0.994129115,0.973299325,0.997226655,0.994791269,0.706256866,0.004061788,0.820618927,97.45910321,-0.522473169,2.192783583,0.999996901,0.76939702,0.776057005,0.024723765,0.019854261,0.923297584,0.980463564,0.999922514,0.998029172,0.000368795,0.181511164,3.45E-06,0.991475344,0.655479133,4.922338308,1.361560576,1.069010491,3.543940494,4.281834603,3.733887651,0.072624616,0.524743319,0.730783641,0.651953399,0.497304618,0.838484585,0.720910966,0.758009672,0.497947156,0.997568786,0.836469591,0.403422564,0.044608265,0.075239666,0.066860162,0.034383945,0.948157132,0.071648359,0.354190677,0.754508138,0.984692574,0.744065881,0.304110259,0.79015398,0.940986037,0.720696688,0.586196184,0.97785449,0.860459566,0.812264442,0.997014999,0.972998798
Flavones,338.12,349.0297908,0.968742523,5,3,90.9,3,3,10,5,0,19,0.157894737,0,0,0.626,2.666,0.15,19,1.883,0,0,0,0,-4.65783396,3.119667847,3.640767606,247.5361406,359.368639,8.009969935,3.48662597,-5.048651558,-4.790008087,0.434591562,0.136473477,0.093992762,0.007904708,0.78074573,0.932280168,0.992094623,0.990984797,0.94645685,0.700665236,0.881143808,0.002961784,0.915102243,95.61555101,0.201818048,4.096503038,0.917381525,0.00050665,0.999978185,0.992175281,0.997513056,0.239819065,0.833248198,0.996322751,0.989472091,0.001254255,0.999956965,8.05E-08,1,0.999995828,5.493151796,1.361486726,1.669542912,4.696801361,5.65709326,5.288897262,0.043263219,0.529429615,0.788897693,0.66408509,0.726717055,0.750785828,0.868266046,0.589326799,0.007227345,0.962654531,0.956156015,0.479667962,0.079783343,0.114702865,0.06717971,0.07322903,0.99321121,0.051675558,0.339318305,0.799706221,0.994733095,0.627353191,0.278979123,0.932866275,0.992593467,0.98464638,0.798778951,0.991072595,0.936742961,0.705733657,0.999784768,0.985803485
Flavonols,332.05,308.8529897,1.075106964,8,5,140.59,2,3,10,8,0,18,0.111111111,0,0,0.48,2.746,0.062,20,1.741,0,0,0,0,-3.358278214,1.346041092,1.211271322,308.7604997,369.1913078,5.981057387,2.951552435,-5.701150883,-4.88893954,0.380562216,0.472523302,0.428758919,0.072669744,0.075152636,0.923152424,0.991497947,0.885050893,0.997839928,0.980568528,0.308476418,0.001977202,0.621982217,97.43395835,-0.880727833,1.953686259,0.999794424,0.99424237,0.152819812,0.001419972,0.990546465,0.893199384,0.002660375,0.999782741,0.9833076,9.42E-07,5.29E-05,2.53E-11,1,0.99931109,3.693313284,1.585904042,0.878025741,3.451986482,4.460690992,3.785049818,0.040637195,0.453848153,0.737017632,0.52710104,0.493664622,0.736405432,0.736984611,0.60418123,0.523017645,0.997885406,0.820018589,0.371373802,0.0266017,0.103694282,0.075828865,0.036560137,0.930783689,0.075006627,0.434924304,0.617539227,0.902179241,0.141606361,0.062882952,0.457177728,0.769773066,0.100339837,0.53011781,0.764709115,0.05791923,0.748706877,0.996280372,0.822017193
Flavones,372.12,369.2467037,1.007781508,7,0,76.36,6,3,10,7,0,18,0.333333333,0,0,0.655,2.238,0.25,19,0.776,0,0,0,0,-3.882779546,2.487666883,2.178107732,151.6925772,334.7794997,8.554167663,4.899296746,-4.547564442,-4.576367853,0.011515963,0.974557936,0.093124434,0.155302525,0.165370584,0.124798954,0.935734749,0.962492585,0.999613822,0.997659087,0.999317884,0.007799606,0.950837493,93.39024859,-0.190887473,6.484589357,0.339126706,0.676499844,0.669747949,0.942697525,0.697106421,0.60017252,0.003148093,0.99805522,0.935207963,0.991473317,0.776145697,0.048231538,0.977364063,0.625251532,6.858217769,1.61776518,1.923315432,3.637721644,4.776557231,4.057701301,0.141644806,0.497789174,0.766915023,0.45137921,0.384430081,0.436100334,0.475575954,0.810425162,0.736698985,0.970893025,0.733994186,0.420078427,0.475441545,0.150127858,0.408936352,0.184056312,0.203049809,0.097302072,0.108206235,0.368381292,0.97453624,0.829455495,0.035703152,0.081629843,0.528924286,0.00326071,0.002579645,0.554019749,0.776697636,0.073133714,0.743712604,0.746227682
Anthraquinones and anthrones,240.04,239.1001115,1.003930941,4,2,74.6,0,3,14,4,0,18,0,0,1,0.545,2.587,0,34,1.097,0,0,0,0,-3.080397459,2.395120348,2.288830079,229.4766064,310.4384035,5.995190837,3.628593018,-4.8003209,-4.742710269,0.965188205,0.038926385,0.001456057,0.618146986,0.044288158,0.292997122,0.38899231,0.818917871,0.980977893,0.000532587,0.68015939,0.005732961,0.819939554,97.4942251,-0.156496714,1.788289346,0.995504081,0.763878047,0.404888242,0.044099666,0.908874512,0.504251003,0.029141966,0.284771323,0.035972565,0.038972534,0.179376006,6.67E-05,0.947794735,0.959435999,5.920884831,1.427407466,1.811965231,5.186087194,5.719039791,5.409877193,0.031934965,0.450619489,0.4664343,0.728007197,0.633494139,0.819653928,0.957554162,0.683440626,0.429638624,0.997591615,0.958872318,0.714738369,0.438142866,0.215336576,0.480404943,0.353760839,0.897248507,0.147410586,0.375042677,0.663829446,0.995828807,0.040844511,0.253783315,0.549935937,0.660568178,0.234912291,0.118018746,0.998009741,0.625912726,0.712211668,0.997677386,0.993761837
Cinnamic acids and derivatives,152.05,154.1927269,0.98610358,3,1,46.53,2,1,6,3,0,7,0.285714286,0,0,0.648,1.822,0.125,6,0.854,0,0,0,1,-1.773467741,1.265219189,1.124172913,87.03405976,283.305229,7.271567618,4.144151336,-4.809990396,-4.724490303,0.131765187,0.343567371,0.085721202,0.115704358,0.409748495,0.448223233,0.849924088,0.965041995,0.984884858,0.745857894,0.5655545,0.129802108,0.517078876,59.86504226,-0.386489215,37.15136733,0.969484627,0.426983476,0.185199067,0.870745242,0.202264577,0.184278965,0.078587167,0.591782153,0.502067983,0.0042998,0.02681582,0.004363519,0.587646365,0.606966496,10.27955169,1.527451226,0.506912583,2.991765567,3.754575933,3.109456039,0.086705953,0.556474566,0.275966644,0.463715047,0.205489919,0.235747948,0.79990077,0.576208472,0.990904748,0.998554885,0.831031144,0.316455781,0.496756405,0.139760852,0.132961139,0.139965996,0.102420464,0.055373695,0.123484492,0.1687828,4.22E-05,5.59E-06,1.18E-05,3.19E-07,0.003624602,1.08E-05,7.05E-07,0.003762099,2.83E-06,0.003128248,0.00083056,0.000307588
Flavonols,300.06,291.2725358,1.030169216,6,3,100.13,2,3,10,6,0,18,0.111111111,0,1,0.672,2.289,0.062,18,1.333,0,0,0,0,-4.097973914,2.302050634,2.369782135,255.4472842,344.8306404,6.875940534,3.582758049,-5.179369442,-4.814825629,0.318840683,0.839989722,0.063467056,0.103033602,0.035487175,0.435315013,0.955516238,0.99190861,0.999436319,0.980948448,0.90593195,0.000734082,0.664961398,98.07879597,-0.655091826,1.486721446,0.998642147,0.784166753,0.798574686,0.006751973,0.957101703,0.872241497,0.007291376,0.944580436,0.946054876,0.000484937,0.003357229,4.23E-06,0.994287908,0.98141712,6.824613805,1.148657619,1.159528766,3.745020544,4.343011097,3.925002874,0.090719044,0.463288337,0.84847796,0.548778176,0.468358755,0.687458992,0.469354093,0.738432527,0.44557485,0.994320154,0.711493969,0.403131634,0.068723232,0.097856671,0.113653861,0.047232684,0.868592799,0.046599891,0.2104536,0.569645822,0.972030997,0.517886698,0.327647835,0.910126209,0.996428311,0.96560806,0.795595944,0.952542365,0.981007516,0.562438905,0.997673333,0.986099899
Anthraquinones and anthrones,254.06,256.3960967,0.99088872,4,2,74.6,0,3,14,4,0,18,0,0,0,0.644,2.189,0.067,36,1.035,0,1,0,0,-6.319671445,3.264138774,3.913309255,198.8731413,363.990368,8.441534714,2.309445315,-4.81037459,-4.802839601,0.862233877,0.552152097,0.148621574,0.032344759,0.015905321,0.567219168,0.960091434,0.993731081,0.998219907,0.137151748,0.401661426,0.003891805,0.679217696,95.46916616,0.570273007,5.667451156,0.998307943,0.782141924,0.511658847,0.000370525,0.233723819,0.000364221,0.103270739,0.008859623,0.007561663,0.042494945,0.10419666,2.96E-06,0.998933136,0.97060138,4.97317791,0.842363894,2.013327876,4.190925561,5.050660614,4.462178884,0.034226224,0.524668634,0.871076405,0.906373858,0.484851301,0.34036389,0.938954055,0.774896979,0.003506118,0.986375391,0.899120688,0.606075168,0.227366447,0.290316403,0.6945014,0.58525759,0.84818393,0.270463139,0.862716436,0.439671367,0.95890516,0.060396403,0.004771143,0.736285388,0.966449082,0.388269693,0.061846267,0.975885093,0.019610563,0.140596762,0.998892486,0.742845297
Cinnamic acids and derivatives,166.06,171.4887121,0.968343619,3,0,35.53,3,1,6,3,0,7,0.428571429,0,0,0.638,1.586,0.222,6,0.147,0,0,0,1,-1.698615835,1.375477383,1.269738376,59.59829363,285.3933992,7.774506436,3.021647011,-4.626099785,-4.687409887,0.026771693,0.926062167,0.030925089,0.204408407,0.182166338,0.260585189,0.465687215,0.929390788,0.996618629,0.846668184,0.987299025,0.186508775,0.046251096,53.2972105,-0.034129287,35.65833405,0.387696654,0.805054486,0.215682909,0.984106421,0.573664844,0.269625306,0.016471032,0.822088063,0.587670207,0.839992464,0.018690838,0.053458497,0.609117687,0.651139379,6.711848697,2.190765344,0.579992791,3.008777657,3.929618651,3.594156104,0.123488247,0.513709307,0.382690072,0.474740744,0.210661232,0.201303124,0.629991412,0.762063861,0.992327988,0.996164083,0.733936548,0.357791573,0.649635494,0.154715985,0.279825628,0.232160091,0.026834643,0.063329339,0.043760646,0.101348884,1.19E-06,5.91E-07,1.88E-08,3.55E-10,0.003159343,2.78E-08,4.30E-10,6.16E-05,1.32E-08,7.41E-07,2.03E-06,5.36E-07
Flavones,268.07,273.6920819,0.979458368,4,1,59.67,2,3,10,4,0,18,0.111111111,0,0,0.775,2.013,0.062,16,0.949,0,1,0,0,-4.839901383,3.20805055,3.736975816,184.3120215,331.0849983,7.477629526,3.177074323,-4.779017282,-4.676526099,0.066330299,0.959252477,0.06664066,0.00740993,0.051406384,0.447758675,0.82429713,0.987213552,0.99862349,0.953816712,0.99030602,0.203610748,0.856931329,98.50919906,-0.11429315,0.812050639,0.999998569,0.792319179,0.98366183,0.015404765,0.038190268,0.978241444,0.811709046,0.982199132,0.982513309,0.000691747,0.370172501,7.61E-05,0.971474111,0.71499306,5.281810248,0.745980612,1.428383401,4.043874697,4.976823161,4.482993626,0.130168036,0.523975492,0.934681416,0.643152297,0.513394594,0.724995315,0.423566222,0.809624076,0.322388023,0.987816989,0.771511137,0.464044571,0.117579095,0.084115118,0.190513968,0.088484637,0.805097282,0.056607425,0.210717112,0.468512475,0.980266154,0.483574629,0.278374851,0.413832039,0.945400298,0.153294936,0.604166865,0.866167068,0.813423276,0.509893239,0.967782617,0.791841805
Flavones,314.08,308.568521,1.017861443,6,2,89.13,3,3,10,6,0,18,0.166666667,0,0,0.723,2.216,0.118,18,1.002,0,0,0,0,-4.224532142,2.5585974,2.555339136,214.371525,328.3602043,6.650665568,3.205034271,-5.057158683,-4.772560566,0.249548301,0.640121818,0.109389946,0.343544364,0.592558473,0.757974491,0.985374589,0.994500875,0.999625683,0.99314028,0.912994862,0.003918617,0.966772556,95.93985212,-0.565053262,3.521432004,0.980935156,0.264636755,0.096664168,0.000251041,0.005683751,0.876999795,0.046866477,0.999086857,0.950922549,0.000209189,0.031648558,8.82E-08,0.999982595,0.736777306,8.040559009,1.211694583,1.124428303,3.711609878,4.765042066,4.180371534,0.133037642,0.48943907,0.894323707,0.626549602,0.382501483,0.661551356,0.507725477,0.767987728,0.323379755,0.983742714,0.786785781,0.402329147,0.156001016,0.155167386,0.235398173,0.145251647,0.724725425,0.070446976,0.257284939,0.446484655,0.990031958,0.536252558,0.265323102,0.551909566,0.660075486,0.54918462,0.15623045,0.942658544,0.621728122,0.870934963,0.942287505,0.877483845
Anthraquinones and anthrones,270.05,265.1863236,1.0183406,5,4,97.99,1,3,14,5,0,17,0.058823529,0,1,0.309,2.679,0,18,1.332,0,0,0,0,-3.400613972,2.110403807,2.315581438,227.3110718,305.2917911,4.739797761,3.917060695,-5.183544216,-4.803191655,0.993459702,4.91E-05,0.00749549,0.007417321,0.023616672,0.014870167,0.275435627,0.914853275,0.907769024,6.81E-05,0.025487533,6.64E-05,0.790405154,95.07554834,-0.162874561,5.374086737,0.999439776,0.428861946,0.409753144,0.001257465,0.258549958,0.38258183,0.043171998,0.473797739,0.007069014,0.011766404,0.000391162,1.09E-06,0.903906345,0.609134495,8.061971725,1.098950141,1.055954156,3.832082625,4.76420447,4.407457415,0.020803437,0.438245177,0.577815592,0.751811802,0.408084065,0.735641479,0.863438129,0.440292478,0.069399782,0.995843232,0.988622963,0.475827038,0.053530458,0.242451534,0.142100036,0.402444839,0.760913432,0.225740224,0.798184693,0.626677632,0.8019858,0.003072794,0.016278446,0.012578954,0.469095409,0.011328625,0.281728327,0.855385125,0.043286152,0.366479844,0.989612043,0.681249261
Isoquinoline alkaloids,349.13,354.0558507,0.986087362,5,0,40.16,2,5,21,5,0,25,0.08,0,1,0.693,2.603,0.238,56,1.019,0,1,1,0,-6.181549248,3.760265847,4.221408218,188.1151135,394.5487153,10.75797008,4.007145778,-4.895372733,-4.714338338,0.113150761,0.222487301,0.413176566,0.000769615,0.031976044,0.00701946,0.855124161,0.442548156,0.833439589,0.028824471,0.994155765,0.788038671,0.954123914,96.08494009,0.189202923,4.228292829,0.99897778,0.999682784,0.987393379,0.999192536,0.064038977,0.999557912,0.774613023,0.963935018,0.99980396,0.492232829,0.995389342,0.993461847,0.006944929,0.898263991,4.49779505,0.81939346,2.223913406,4.506340916,6.054146199,5.597132211,0.709583879,0.711171448,0.982459068,0.879558861,0.768178046,0.756683171,0.492089123,0.936659157,5.71E-07,0.040367831,0.959534228,0.762409866,0.961230457,0.738764822,0.878936052,0.924379885,0.954302073,0.364580423,0.729739904,0.765431702,0.998918414,0.296299964,0.2068104,0.107415229,0.609659553,0.020150397,0.001034336,0.631065965,0.211995825,0.371155053,0.929554045,0.930192053
Cinnamic acids and derivatives,238.12,249.4628799,0.954530791,4,0,36.92,6,1,6,4,0,7,0.857142857,0,0,0.713,2.178,0.385,8,0.597,0,0,0,0,-2.810272113,2.55417334,2.471453338,39.98120755,283.2168612,9.426888587,4.469295576,-4.689056775,-4.784768483,0.004011779,0.863051414,0.001091963,0.008332193,0.888457902,0.901786372,0.91464407,0.97717607,0.995239377,0.945841968,0.956169307,0.593659341,0.900911272,90.53554507,0.210059564,11.15379283,0.851485252,0.937561154,0.899493814,0.996255517,0.10197854,0.997910917,0.024096383,0.973611891,0.977033436,0.115746692,0.91844064,0.973519027,0.999481261,0.527405143,7.113517934,1.37951143,2.041833607,3.345802154,4.674872032,3.808668785,0.100716092,0.660892606,0.426602691,0.305697173,0.415859699,0.274380773,0.831159592,0.711720407,0.969768465,0.979223847,0.889336407,0.344895899,0.803596795,0.198352203,0.302410573,0.137172058,0.05910442,0.076041535,0.105514988,0.242211848,0.000516112,9.24E-05,6.34E-07,5.73E-05,0.001223812,6.34E-06,1.72E-07,0.00904665,9.28E-08,0.000108293,0.001118414,3.19E-06
Anthraquinones and anthrones,270.05,265.1863236,1.0183406,5,3,94.83,0,3,14,5,0,18,0,0,0,0.579,2.401,0.067,38,1.668,0,0,0,0,-6.551687498,3.016679363,3.555217038,317.9620429,466.7600762,8.223328942,0.275056871,-5.191003199,-4.767866616,0.992811859,0.00125631,0.00820894,0.035984337,0.172815084,0.297216892,0.910100251,0.96996361,0.933811903,0.004747754,0.029178387,0.000121432,0.551473141,94.86951534,0.343400588,6.95448667,0.999521732,0.916489959,0.20342575,0.067155004,0.122865461,0.004307021,0.316388607,0.002696542,0.776644051,6.88E-05,0.0702902,3.79E-06,0.999726355,0.520682037,7.927033907,1.110940837,1.238199717,3.961918501,4.788557327,4.283140167,0.057278495,0.585913002,0.620703578,0.852392197,0.531609416,0.496939421,0.958366096,0.790573657,0.009013189,0.995803535,0.936780632,0.675924122,0.271045178,0.3193973,0.51867789,0.182999656,0.899315476,0.195928052,0.755103111,0.726534426,0.996596277,0.090961836,0.008586809,0.477585822,0.999097466,0.964908421,0.00895912,0.974292397,0.24101752,0.034709949,0.999957204,0.992977679
Flavonols,368.13,375.116003,0.98137642,6,3,100.13,4,3,10,6,0,19,0.210526316,0,0,0.6,2.701,0.19,20,1.891,0,0,1,0,-4.724380112,3.343698055,4.014429935,225.2538221,351.6256606,8.181667118,4.03246942,-5.029451289,-4.765940796,0.723788917,0.809222221,0.047785904,0.009458959,0.257531404,0.509329438,0.996023494,0.618335426,0.915952206,0.920717359,0.997145832,0.001862295,0.937899232,95.15877914,0.024193648,5.151340906,0.457282513,0.258303821,0.978470445,0.929418325,0.993327498,0.066704616,0.000340903,0.906637967,0.908243239,0.067006961,0.991081953,2.88E-07,0.999990582,0.999902964,5.793909998,1.128128945,1.603860046,4.54851128,5.599429291,5.203318587,0.042050093,0.548272729,0.606385469,0.589515626,0.697925031,0.725050092,0.914106011,0.632083237,0.030307228,0.963893831,0.932890654,0.446321249,0.108089946,0.160572335,0.074895844,0.135367781,0.975126863,0.070689015,0.436726958,0.798686028,0.994645476,0.236842528,0.026408797,0.977047324,0.975909531,0.966574788,0.491499811,0.981124341,0.545288682,0.269641578,0.999825537,0.965428472
Anthraquinones and anthrones,224.05,230.3098845,0.972819731,3,1,54.37,0,3,14,3,0,18,0,0,0,0.636,1.793,0,32,0.809,0,1,0,0,-5.365520593,3.181405254,3.434364934,206.0663393,373.5773756,8.181631451,1.412112888,-4.434889231,-4.659332908,0.496709555,0.991739035,0.06092963,0.122316718,0.00229615,0.558478087,0.907401122,0.989213288,0.996352792,0.158386752,0.445709616,0.005620788,0.165731356,95.40929578,0.337180239,5.39302751,0.999948978,0.996465206,0.04450506,0.029411325,0.000595835,6.77E-05,0.019926082,2.76E-06,0.015010271,0.000917705,0.000874593,0.000610522,0.943018317,0.556950748,4.667931664,0.950415366,2.278084846,4.549801406,5.484799861,4.950048669,0.074582875,0.62626344,0.810629964,0.854561806,0.40561685,0.264714658,0.88052392,0.808917344,0.087301947,0.993288577,0.804790854,0.614753485,0.403511703,0.210415542,0.616531491,0.350905091,0.449197084,0.116313629,0.57983017,0.369370311,0.926416516,0.145213708,0.029357364,0.576230764,0.989944875,0.549610257,0.063069977,0.891660213,0.460579962,0.056581456,0.985630929,0.497730225
Cinnamic acids and derivatives,150.07,162.6984851,0.922381053,2,0,26.3,3,1,6,2,0,7,0.428571429,0,0,0.6,1.287,0.222,5,0.196,0,0,0,1,-1.808026066,1.83664952,1.98062513,-28.12495683,211.778747,10.10467234,4.627335133,-4.492396358,-4.136243676,0.275677323,0.675865591,0.000472564,0.076644838,0.196150005,0.945827458,0.13112253,0.957712412,0.993043303,0.028345674,0.951074481,0.461640894,0.56086117,82.65858446,-0.313515219,18.27572426,0.112483941,0.043928582,0.33037737,0.151254907,0.04085147,0.015238386,0.296730697,0.023963803,0.008414402,0.899426937,0.951269686,0.184114426,0.963863254,0.846986711,6.852924061,1.064759874,0.580146033,3.196482433,4.315039465,3.944676199,0.115479037,0.614867091,0.175060987,0.318069547,0.097220667,0.109427944,0.685670853,0.569515765,0.929085791,0.995582163,0.152524412,0.13146846,0.233990163,0.089964516,0.120229408,0.081199944,0.039654907,0.029554678,0.023212606,0.088730596,1.40E-05,2.27E-05,4.50E-07,2.26E-06,0.038861923,6.49E-05,2.41E-08,7.88E-05,3.59E-07,6.48E-06,1.41E-05,5.38E-07
Cinnamic acids and derivatives,354.1,331.4725935,1.06826328,9,6,164.75,5,2,6,9,0,15,0.333333333,4,0,0.234,3.871,0.375,60.273,2.246,0,0,0,0,-2.355101234,0.997654279,0.205713944,207.2966654,289.9726784,3.823045584,4.494927749,-6.348932528,-5.029098397,0.999835134,3.00E-08,0.122071289,0.848681331,0.994868102,0.998764686,0.999564073,0.960059702,0.999148607,0.008609637,2.74E-05,0.002511732,0.884201884,54.79361197,0.379184234,44.66312754,2.64E-09,1.25E-11,5.62E-08,1.09E-07,1.99E-07,0.000538061,6.55E-06,1.04E-09,7.14E-06,1.90E-07,0.000521008,9.58E-14,0.99305141,8.47E-05,2.529475275,3.156618063,0.247266435,2.887231599,4.526494126,3.689537936,0.021157213,0.168625087,0.201371297,0.356913149,0.201119795,0.540063798,0.930489242,0.088551737,0.000619742,0.421619862,0.174700364,0.431022406,0.063416369,0.937888324,0.020786284,0.422297388,0.180293515,0.021368967,0.107883036,0.145247713,0.009321565,0.101787455,0.040277869,0.002498004,0.395635992,0.029921705,0.13152948,0.101850823,0.027259592,0.240518332,0.018002614,0.041613065
Flavones,358.11,351.9507184,1.017500409,7,1,87.36,5,3,10,7,0,18,0.277777778,0,0,0.749,2.386,0.211,19,1.096,0,0,0,0,-4.540132615,2.811998649,2.723007436,169.4204329,323.0405466,8.006915279,3.658639394,-4.942296537,-4.688366125,0.104619034,0.7538445,0.1871351,0.025138617,0.157969296,0.178322554,0.878364019,0.794389904,0.992736459,0.779276609,0.95581466,0.28917706,0.981818497,96.3871047,-0.412175442,3.213699653,0.955097854,0.572203696,0.793873727,0.012503912,0.801905692,0.315175921,0.040669601,0.985660315,0.95559448,0.894420028,0.626766443,5.24E-05,0.999985933,0.913541913,5.125044273,1.010235227,1.216145775,3.732097411,4.912513778,4.106709506,0.142774001,0.530555725,0.857743323,0.460885495,0.382422537,0.503131211,0.506347299,0.79409796,0.231824845,0.920722902,0.842192769,0.40790987,0.370600611,0.169896737,0.397618622,0.25539273,0.320721805,0.143520638,0.242671072,0.511418521,0.980063438,0.602890491,0.286068738,0.44520241,0.573976099,0.029232539,0.055251162,0.593916416,0.797219753,0.582242012,0.967255473,0.919298828
Flavones,312.1,317.0742793,0.984311943,5,0,57.9,4,3,10,5,0,18,0.222222222,0,0,0.738,2.016,0.167,17,0.631,0,0,0,0,-4.336131529,2.927314872,2.761622336,143.8286233,331.4678014,9.137129131,3.188796668,-4.517242572,-4.51583937,0.023363942,0.932154119,0.119853407,0.236660004,0.319831252,0.284498632,0.907967024,0.994850218,0.999838591,0.989507139,0.994813919,0.004433681,0.753055155,88.73266877,-0.146821452,9.405901497,0.999964118,0.999413967,0.995157897,0.089849748,0.124959141,0.995853066,0.811164141,0.999971867,0.999811709,4.92E-06,0.014081239,0.001030823,0.999955893,0.92448473,6.922237234,0.650148719,1.354202953,3.789188699,4.57490114,4.18036498,0.172996491,0.470101714,0.896056533,0.69311446,0.437924206,0.734523177,0.279607594,0.861805141,0.474027574,0.977555037,0.795821786,0.449665546,0.392491221,0.12891604,0.361946315,0.229374617,0.790262401,0.08557827,0.131810471,0.462687314,0.98848933,0.690312743,0.145957187,0.606836438,0.883917272,0.176482111,0.120596118,0.852648139,0.88258642,0.479772002,0.853592813,0.916260242
Flavonols,300.06,291.2725358,1.030169216,6,3,100.13,2,3,10,6,0,18,0.111111111,0,0,0.672,2.327,0.062,18,1.452,0,0,0,0,-3.513915696,2.349564404,2.718183449,266.7957586,376.5038811,7.749355248,5.199444291,-4.993079088,-4.795252079,0.707563221,0.11022839,0.320652634,0.001963437,0.073419571,0.350653589,0.982546898,0.201744929,0.917830169,0.982739329,0.980268538,0.004309725,0.85626483,96.91988663,-0.436056868,2.719220739,0.989688516,0.952830911,0.052529614,0.01036483,0.199757695,0.34390375,0.031637907,0.984728396,0.998437464,0.003415032,0.129052088,1.14E-07,0.999976993,0.979223132,5.803993302,1.216809685,1.276550612,3.747624891,4.385458267,3.994203674,0.073953398,0.505373776,0.667300701,0.542778909,0.467223853,0.799355686,0.650197029,0.772405803,0.535072625,0.996514916,0.695472717,0.397484571,0.064521715,0.078759134,0.054909572,0.023446416,0.977055848,0.045385655,0.254959971,0.775388777,0.990562797,0.792034447,0.213288233,0.982993841,0.99933511,0.996674061,0.643020332,0.990795076,0.991062999,0.531438887,0.99961251,0.991166055
